id,displayName,groupType,membershipType,source,mail,securityEnabled,mailEnabled,isAssignableToRole,onPremisesSyncEnabled
020e03e8-ea82-4a39-8183-3042c4e67601,nt_cq_sales,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
0fa754fa-b80f-4800-8012-7c4f8ed4a9ce,AHHE M365 Migration,Microsoft 365,Assigned,Cloud,AHHEM365Migration@novicktech.onmicrosoft.com,FALSE,TRUE,FALSE,
16be9712-c482-49d8-ad4b-655ff1c75d40,gMSA-Test-Group,Security,Assigned,Windows server AD,,TRUE,FALSE,FALSE,TRUE
178661f3-d20f-48a2-a170-dcc77ce05d11,BIGI Website,Microsoft 365,Assigned,Cloud,BIGIWebsite@novicktech.onmicrosoft.com,FALSE,TRUE,FALSE,
198d6efe-6935-4d32-bfa5-8c9c4149a627,VeritasEMOD_Standard Admin,Security,Assigned,Windows server AD,,TRUE,FALSE,FALSE,TRUE
1ee5235c-bb65-4f02-aa4f-d56e2b49af34,SalesAgents,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
25b17b30-b924-49a7-9db7-77568b271d7d,Starting_Point_Computer_Test,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
2a2e48e9-2c69-45a8-a28b-19e42e3f0f6e,AADC_Sync_Users,Security,Assigned,Windows server AD,,TRUE,FALSE,FALSE,TRUE
2b53d8d6-5fb4-4c5d-a2de-5d62cf5d471d,AdminAgents,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
302619e3-bf55-4ddb-b3e6-26578db6aaf4,AOV_VPN_Users,Security,Assigned,Cloud,,TRUE,FALSE,FALSE,
39807dec-24f5-4277-bfc3-3031d5cca5cd,Servers_All,Security,Assigned,Windows server AD,,TRUE,FALSE,FALSE,TRUE
41f9c9c9-bb51-44f2-b3d1-870dbb5bba62,nt_emergency_support,Distribution,Assigned,Cloud,emergencysupport@novick.tech,FALSE,TRUE,FALSE,
