"AccessTime";"LDAPAccess"
"5/17/2022 8:21:55 AM";"10.83.172.2:22740 INSMED\read.only 1"
"5/17/2022 8:04:32 AM";"10.83.172.2:19730 INSMED\read.only 1"
"5/17/2022 8:48:21 AM";"10.53.4.11:55693 INSMED\qlik.service 1"
"5/17/2022 8:21:25 AM";"10.53.4.11:54386 INSMED\qlik.service 1"
"5/17/2022 7:55:03 AM";"10.53.4.11:53030 INSMED\qlik.service 1"
"5/17/2022 7:45:35 AM";"10.22.172.2:56438 INSMED\read.only 1"
"5/17/2022 8:47:36 AM";"10.22.172.2:2634 INSMED\read.only 1"
"5/17/2022 7:56:12 AM";"10.103.11.22:55200 INSMED\Qlik.PSADMIN 1"
"5/17/2022 8:41:50 AM";"10.103.11.12:59880 INSMED\Qlik.PSADMIN 1"
"5/17/2022 8:21:19 AM";"10.103.11.12:56715 INSMED\Qlik.PSADMIN 1"
"5/17/2022 8:27:37 AM";"[fe80::5151:6a58:a5f3:c20e%20]:29524 INSMED\Shelby.Mader 1"
